1,系统管理,0,1,system,,"",1,0,M,0,0,"",system,admin,2023-09-12 19:26:51,"",,系统管理目录
2,系统监控,0,2,monitor,,"",1,0,M,0,0,"",monitor,admin,2023-09-12 19:26:51,"",,系统监控目录
3,系统工具,0,3,tool,,"",1,0,M,0,0,"",tool,admin,2023-09-12 19:26:51,"",,系统工具目录
4,若依官网,0,4,http://ruoyi.vip,,"",0,0,M,0,0,"",guide,admin,2023-09-12 19:26:51,"",,若依官网地址
100,用户管理,1,1,user,system/user/index,"",1,0,C,0,0,system:user:list,user,admin,2023-09-12 19:26:51,"",,用户管理菜单
101,角色管理,1,2,role,system/role/index,"",1,0,C,0,0,system:role:list,peoples,admin,2023-09-12 19:26:51,"",,角色管理菜单
102,菜单管理,1,3,menu,system/menu/index,"",1,0,C,0,0,system:menu:list,tree-table,admin,2023-09-12 19:26:51,"",,菜单管理菜单
103,部门管理,1,4,dept,system/dept/index,"",1,0,C,0,0,system:dept:list,tree,admin,2023-09-12 19:26:51,"",,部门管理菜单
104,岗位管理,1,5,post,system/post/index,"",1,0,C,0,0,system:post:list,post,admin,2023-09-12 19:26:51,"",,岗位管理菜单
105,字典管理,1,6,dict,system/dict/index,"",1,0,C,0,0,system:dict:list,dict,admin,2023-09-12 19:26:51,"",,字典管理菜单
106,参数设置,1,7,config,system/config/index,"",1,0,C,0,0,system:config:list,edit,admin,2023-09-12 19:26:51,"",,参数设置菜单
107,通知公告,1,8,notice,system/notice/index,"",1,0,C,0,0,system:notice:list,message,admin,2023-09-12 19:26:51,"",,通知公告菜单
108,日志管理,1,9,log,"","",1,0,M,0,0,"",log,admin,2023-09-12 19:26:51,"",,日志管理菜单
109,在线用户,2,1,online,monitor/online/index,"",1,0,C,0,0,monitor:online:list,online,admin,2023-09-12 19:26:51,"",,在线用户菜单
110,定时任务,2,2,job,monitor/job/index,"",1,0,C,0,0,monitor:job:list,job,admin,2023-09-12 19:26:51,"",,定时任务菜单
111,数据监控,2,3,druid,monitor/druid/index,"",1,0,C,0,0,monitor:druid:list,druid,admin,2023-09-12 19:26:51,"",,数据监控菜单
112,服务监控,2,4,server,monitor/server/index,"",1,0,C,0,0,monitor:server:list,server,admin,2023-09-12 19:26:51,"",,服务监控菜单
113,缓存监控,2,5,cache,monitor/cache/index,"",1,0,C,0,0,monitor:cache:list,redis,admin,2023-09-12 19:26:51,"",,缓存监控菜单
114,缓存列表,2,6,cacheList,monitor/cache/list,"",1,0,C,0,0,monitor:cache:list,redis-list,admin,2023-09-12 19:26:51,"",,缓存列表菜单
116,代码生成,3,2,gen,tool/gen/index,"",1,0,C,0,0,tool:gen:list,code,admin,2023-09-12 19:26:51,"",,代码生成菜单
117,系统接口,3,3,swagger,tool/swagger/index,"",1,0,C,0,0,tool:swagger:list,swagger,admin,2023-09-12 19:26:51,"",,系统接口菜单
500,操作日志,108,1,operlog,monitor/operlog/index,"",1,0,C,0,0,monitor:operlog:list,form,admin,2023-09-12 19:26:51,"",,操作日志菜单
501,登录日志,108,2,logininfor,monitor/logininfor/index,"",1,0,C,0,0,monitor:logininfor:list,logininfor,admin,2023-09-12 19:26:51,"",,登录日志菜单
1000,用户查询,100,1,"","","",1,0,F,0,0,system:user:query,#,admin,2023-09-12 19:26:51,"",,""
1001,用户新增,100,2,"","","",1,0,F,0,0,system:user:add,#,admin,2023-09-12 19:26:51,"",,""
1002,用户修改,100,3,"","","",1,0,F,0,0,system:user:edit,#,admin,2023-09-12 19:26:51,"",,""
1003,用户删除,100,4,"","","",1,0,F,0,0,system:user:remove,#,admin,2023-09-12 19:26:51,"",,""
1004,用户导出,100,5,"","","",1,0,F,0,0,system:user:export,#,admin,2023-09-12 19:26:51,"",,""
1005,用户导入,100,6,"","","",1,0,F,0,0,system:user:import,#,admin,2023-09-12 19:26:51,"",,""
1006,重置密码,100,7,"","","",1,0,F,0,0,system:user:resetPwd,#,admin,2023-09-12 19:26:51,"",,""
1007,角色查询,101,1,"","","",1,0,F,0,0,system:role:query,#,admin,2023-09-12 19:26:51,"",,""
1008,角色新增,101,2,"","","",1,0,F,0,0,system:role:add,#,admin,2023-09-12 19:26:51,"",,""
1009,角色修改,101,3,"","","",1,0,F,0,0,system:role:edit,#,admin,2023-09-12 19:26:51,"",,""
1010,角色删除,101,4,"","","",1,0,F,0,0,system:role:remove,#,admin,2023-09-12 19:26:51,"",,""
1011,角色导出,101,5,"","","",1,0,F,0,0,system:role:export,#,admin,2023-09-12 19:26:51,"",,""
1012,菜单查询,102,1,"","","",1,0,F,0,0,system:menu:query,#,admin,2023-09-12 19:26:51,"",,""
